,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Initial Temperature (C),Final Temperature (C),Increment Temperature (C),Initial Pressure (MPa),Final Pressure (MPa),Increment Pressure (MPa),dp/dt,H2O,log fo2 Path,Mode
0,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,0.1,0.1,0.0,0.0,0.1,NNO,Equilibrium
1,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,50.0,50.0,0.0,0.0,0.1,NNO,Equilibrium
2,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,100.0,100.0,0.0,0.0,0.1,NNO,Equilibrium
3,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,150.0,150.0,0.0,0.0,0.1,NNO,Equilibrium
4,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,200.0,200.0,0.0,0.0,0.1,NNO,Equilibrium
5,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,250.0,250.0,0.0,0.0,0.1,NNO,Equilibrium
6,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,300.0,300.0,0.0,0.0,0.1,NNO,Equilibrium
7,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,350.0,350.0,0.0,0.0,0.1,NNO,Equilibrium
8,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,400.0,400.0,0.0,0.0,0.1,NNO,Equilibrium
9,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,450.0,450.0,0.0,0.0,0.1,NNO,Equilibrium
10,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,500.0,500.0,0.0,0.0,0.1,NNO,Equilibrium
11,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,550.0,550.0,0.0,0.0,0.1,NNO,Equilibrium
12,54.509902750182995,1.4207257136881732,15.15788978354073,6.330586635992889,0.16714420161037333,8.012475164697271,9.621238105197115,2.9250235281815327,1.4834047892920632,0.27160932761685663,1400.0,500.0,10.0,600.0,600.0,0.0,0.0,0.1,NNO,Equilibrium
13,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,0.1,0.1,0.0,0.0,1.0,NNO,Equilibrium
14,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,50.0,50.0,0.0,0.0,1.0,NNO,Equilibrium
15,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,100.0,100.0,0.0,0.0,1.0,NNO,Equilibrium
16,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,150.0,150.0,0.0,0.0,1.0,NNO,Equilibrium
17,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,200.0,200.0,0.0,0.0,1.0,NNO,Equilibrium
18,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,250.0,250.0,0.0,0.0,1.0,NNO,Equilibrium
19,54.01882254522639,1.4079263829342257,15.021332217923245,6.273554323956916,0.16563839799226185,7.9402907037540515,9.534560284429572,2.898671964864582,1.4700407821813237,0.2691623967374255,1400.0,500.0,10.0,300.0,300.0,0.0,0.0,1.0,NNO,Equilibrium
